srcip,time_bucket,total_connections,unique_dst_ips,unique_dst_ports,total_bytes_sent,ports_scanned,critical_targets,severity,exfiltration_risk
59.166.0.2,0.0,62215,10,14606,46588418,Multiple,True,CRITICAL,True
59.166.0.4,0.0,62242,10,14503,46341708,Multiple,True,CRITICAL,True
59.166.0.0,0.0,62269,10,14452,46265446,Multiple,True,CRITICAL,True
59.166.0.5,0.0,61821,10,14258,45504407,Multiple,True,CRITICAL,True
59.166.0.1,0.0,62029,10,14245,46183590,Multiple,True,CRITICAL,True
59.166.0.3,0.0,61782,10,14136,45335646,Multiple,True,CRITICAL,True
59.166.0.8,0.0,59600,10,13915,44140482,Multiple,True,CRITICAL,True
59.166.0.6,0.0,59493,10,13827,44020486,Multiple,True,CRITICAL,True
59.166.0.7,0.0,59371,10,13775,43881775,Multiple,True,CRITICAL,True
59.166.0.9,0.0,59452,10,13671,43655791,Multiple,True,CRITICAL,True
175.45.176.3,0.0,93037,12,1374,13078654,Multiple,False,High,True
175.45.176.2,0.0,10380,12,952,4151120,Multiple,False,Medium,False
175.45.176.1,0.0,104011,12,469,15921524,Multiple,False,Medium,True
175.45.176.0,0.0,59757,12,243,9401870,Multiple,False,Medium,True
149.171.126.5,0.0,151,10,146,1533074,Multiple,False,Medium,False
149.171.126.3,0.0,146,10,134,926294,Multiple,False,Medium,False
149.171.126.1,0.0,134,10,125,1085494,Multiple,False,Medium,False
149.171.126.8,0.0,129,10,123,921857,Multiple,False,Medium,False
149.171.126.6,0.0,127,10,123,819087,Multiple,False,Medium,False
149.171.126.2,0.0,126,10,121,944728,Multiple,False,Medium,False
149.171.126.4,0.0,126,10,116,1368637,Multiple,False,Medium,False
149.171.126.9,0.0,118,10,116,783926,Multiple,False,Medium,False
149.171.126.0,0.0,126,10,115,1092068,Multiple,False,Medium,False
149.171.126.7,0.0,108,10,105,814996,Multiple,False,Medium,False
